Source_ID,Rupture_ID,Rup_Var_ID,Magnitude
158,8,6,6.85
158,8,5,6.85
158,8,11,6.85
158,7,7,6.75
158,9,12,6.95
158,9,10,6.95
158,8,15,6.85
158,9,15,6.95
158,1,12,6.65
158,9,13,6.95
158,9,9,6.95
158,7,0,6.75
158,9,1,6.95
158,6,12,6.65
158,9,11,6.95
158,9,8,6.95
158,7,14,6.75
158,8,13,6.85
158,9,2,6.95
158,8,8,6.85
158,7,8,6.75
158,9,5,6.95
158,8,0,6.85
158,9,4,6.95
158,7,11,6.75
158,8,12,6.85
158,9,6,6.95
158,9,7,6.95
158,8,4,6.85
158,7,5,6.75
158,7,15,6.75
158,9,14,6.95
184,8,10,6.85
184,8,2,6.85
184,9,13,6.95
184,9,12,6.95
184,7,14,6.75
184,9,1,6.95
184,9,14,6.95
184,9,4,6.95
184,7,8,6.75
184,8,13,6.85
184,9,11,6.95
184,9,10,6.95
184,8,12,6.85
184,9,7,6.95
184,8,5,6.85
184,8,11,6.85
184,9,2,6.95
184,9,0,6.95
184,9,8,6.95
184,9,5,6.95
184,8,4,6.85
184,8,7,6.85
184,8,8,6.85
215,49,17,7.45
215,49,21,7.45
215,46,17,7.15
215,46,18,7.15
215,47,14,7.25
215,48,12,7.35
215,47,51,7.25
215,49,54,7.45
215,49,62,7.45
215,42,17,7.15
215,48,34,7.35
215,42,56,7.15
215,48,28,7.35
215,49,1,7.45
215,47,43,7.25
215,48,5,7.35
215,48,48,7.35
215,48,67,7.35
215,48,55,7.35
215,48,36,7.35
215,48,29,7.35
215,48,1,7.35
215,48,0,7.35
215,49,58,7.45
215,47,45,7.25
215,49,41,7.45
215,49,3,7.45
215,48,4,7.35
215,47,16,7.25
215,48,62,7.35
215,48,39,7.35
215,49,45,7.45
215,47,52,7.25
215,49,31,7.45
215,47,32,7.25
215,40,33,7.05
215,42,2,7.15
215,49,48,7.45
215,48,27,7.35
215,49,22,7.45
215,49,69,7.45
215,48,63,7.35
215,49,60,7.45
215,47,3,7.25
215,49,52,7.45
215,41,14,7.05
215,47,30,7.25
215,49,67,7.45
215,49,0,7.45
215,48,54,7.35
215,48,16,7.35
215,49,10,7.45
215,48,20,7.35
215,46,56,7.15
215,47,49,7.25
215,49,18,7.45
215,47,47,7.25
215,48,43,7.35
215,48,51,7.35
215,48,53,7.35
215,49,36,7.45
215,49,28,7.45
215,47,48,7.25
215,47,2,7.25
215,49,2,7.45
215,48,15,7.35
215,48,42,7.35
215,47,58,7.25
215,46,14,7.15
215,47,57,7.25
215,40,44,7.05
215,49,14,7.45
215,47,53,7.25
215,46,2,7.15
215,49,8,7.45
215,49,64,7.45
215,47,33,7.25
215,47,60,7.25
215,49,32,7.45
215,49,9,7.45
215,46,43,7.15
215,49,7,7.45
215,47,19,7.25
215,48,25,7.35
215,40,46,7.05
215,48,35,7.35
215,49,15,7.45
215,47,15,7.25
215,49,27,7.45
215,49,34,7.45
215,49,44,7.45
215,47,17,7.25
215,48,57,7.35
215,42,43,7.15
215,49,49,7.45
215,47,20,7.25
215,46,1,7.15
215,48,17,7.35
215,49,24,7.45
215,48,14,7.35
215,49,25,7.45
215,49,16,7.45
215,47,29,7.25
215,48,60,7.35
215,47,56,7.25
215,48,32,7.35
215,49,37,7.45
215,49,53,7.45
215,48,22,7.35
215,49,68,7.45
215,48,30,7.35
215,47,46,7.25
215,48,52,7.35
215,42,14,7.15
215,48,56,7.35
215,48,45,7.35
215,39,35,7.05
215,48,26,7.35
215,48,3,7.35
215,49,47,7.45
215,47,34,7.25
215,48,18,7.35
215,49,42,7.45
215,49,12,7.45
215,49,61,7.45
215,49,23,7.45
215,49,59,7.45
215,48,69,7.35
215,49,50,7.45
215,47,59,7.25
215,39,36,7.05
215,49,51,7.45
215,42,18,7.15
215,49,6,7.45
215,49,26,7.45
215,49,30,7.45
215,48,2,7.35
215,47,44,7.25
215,48,50,7.35
215,47,18,7.25
215,48,31,7.35
215,48,59,7.35
215,49,35,7.45
215,48,6,7.35
215,49,57,7.45
215,49,63,7.45
215,49,4,7.45
215,49,56,7.45
215,45,43,7.05
215,47,35,7.25
215,49,65,7.45
215,49,29,7.45
215,49,43,7.45
215,48,46,7.35
215,42,1,7.15
215,48,8,7.35
215,48,47,7.35
215,49,33,7.45
215,49,5,7.45
215,47,42,7.25
215,48,24,7.35
216,52,59,7.45
216,51,58,7.35
216,51,61,7.35
216,50,28,7.25
216,50,42,7.25
216,52,24,7.45
216,51,55,7.35
216,51,42,7.35
216,38,30,6.95
216,52,52,7.45
216,52,34,7.45
216,52,49,7.45
216,51,31,7.35
216,51,50,7.35
216,51,17,7.35
216,52,65,7.45
216,49,28,7.15
216,49,1,7.15
216,45,15,7.15
216,52,58,7.45
216,50,57,7.25
216,52,61,7.45
216,50,6,7.25
216,45,3,7.15
216,49,56,7.15
216,51,67,7.35
216,52,57,7.45
216,50,56,7.25
216,52,56,7.45
216,52,45,7.45
216,52,30,7.45
216,52,12,7.45
216,52,15,7.45
216,52,21,7.45
216,50,14,7.25
216,51,48,7.35
216,51,23,7.35
216,51,14,7.35
216,50,9,7.25
216,52,32,7.45
216,49,42,7.15
216,52,3,7.45
216,48,30,7.05
216,45,43,7.15
216,51,24,7.35
216,51,27,7.35
216,52,37,7.45
216,51,59,7.35
216,52,7,7.45
216,49,53,7.15
216,49,61,7.15
216,45,28,7.15
216,51,29,7.35
216,52,28,7.45
216,45,66,7.15
216,51,60,7.35
216,51,32,7.35
216,42,11,7.05
216,52,44,7.45
216,45,60,7.15
216,52,11,7.45
216,48,68,7.05
216,52,66,7.45
216,52,68,7.45
216,45,14,7.15
216,52,48,7.45
216,51,6,7.35
216,50,20,7.25
216,52,54,7.45
216,52,38,7.45
216,52,67,7.45
216,50,62,7.25
216,51,18,7.35
216,51,28,7.35
216,45,2,7.15
216,52,0,7.45
216,50,45,7.25
216,51,56,7.35
216,52,17,7.45
216,52,63,7.45
216,50,2,7.25
216,52,23,7.45
216,52,53,7.45
216,51,4,7.35
216,44,25,7.05
216,51,65,7.35
216,52,8,7.45
216,52,33,7.45
216,51,2,7.35
216,50,17,7.25
216,50,1,7.25
216,45,46,7.15
216,52,9,7.45
216,52,10,7.45
216,51,0,7.35
216,52,39,7.45
216,52,16,7.45
216,51,57,7.35
216,51,53,7.35
216,43,33,7.05
216,51,15,7.35
216,52,31,7.45
216,52,2,7.45
216,51,43,7.35
216,45,44,7.15
216,51,10,7.35
216,52,22,7.45
216,52,19,7.45
216,51,52,7.35
216,51,3,7.35
216,45,56,7.15
216,51,33,7.35
216,52,41,7.45
216,52,47,7.45
216,45,18,7.15
216,52,18,7.45
216,50,43,7.25
216,51,44,7.35
216,51,54,7.35
216,50,47,7.25
216,51,22,7.35
216,49,30,7.15
216,48,19,7.05
216,50,33,7.25
216,51,39,7.35
216,45,8,7.15
216,52,1,7.45
216,52,27,7.45
216,50,16,7.25
216,45,20,7.15
216,52,60,7.45
216,50,15,7.25
216,52,20,7.45
216,50,59,7.25
216,44,12,7.05
216,51,1,7.35
216,49,0,7.15
216,52,5,7.45
216,52,51,7.45
216,50,19,7.25
216,51,35,7.35
216,50,3,7.25
216,50,4,7.25
216,51,47,7.35
216,51,9,7.35
216,52,29,7.45
216,51,8,7.35
216,51,11,7.35
216,45,17,7.15
216,52,50,7.45
216,45,16,7.15
216,52,35,7.45
216,52,4,7.45
216,51,34,7.35
216,44,2,7.05
216,51,13,7.35
216,45,1,7.15
216,45,57,7.15
216,50,67,7.25
216,49,47,7.15
216,52,46,7.45
216,41,36,7.05
216,52,14,7.45
216,51,41,7.35
216,52,64,7.45
216,50,63,7.25
216,51,30,7.35
216,51,64,7.35
216,49,14,7.15
216,49,15,7.15
216,52,62,7.45
216,41,46,7.05
216,50,34,7.25
216,52,69,7.45
216,49,68,7.15
216,50,48,7.25
216,38,29,6.95
216,50,66,7.25
216,51,5,7.35
216,51,16,7.35
216,48,28,7.05
216,51,21,7.35
216,52,36,7.45
216,52,42,7.45
216,42,37,7.05
216,50,22,7.25
216,50,30,7.25
216,52,43,7.45
216,50,68,7.25
216,51,40,7.35
216,45,63,7.15
216,49,44,7.15
218,242,55,7.25
218,266,61,7.65
218,258,52,7.45
218,243,51,7.25
218,257,94,7.45
218,266,6,7.65
218,252,23,7.35
218,256,68,7.35
218,257,11,7.45
218,259,63,7.45
218,265,59,7.55
218,261,81,7.45
218,253,17,7.35
218,261,63,7.45
218,219,2,7.15
218,255,13,7.35
218,248,14,7.35
218,261,96,7.45
218,256,14,7.35
218,242,10,7.25
218,224,7,7.15
218,266,107,7.65
218,198,26,7.05
218,257,50,7.45
218,260,4,7.45
218,265,50,7.55
218,266,119,7.65
218,263,9,7.35
218,265,5,7.55
218,257,83,7.45
218,221,41,7.15
218,237,34,7.25
218,265,15,7.55
218,256,73,7.35
218,260,45,7.45
218,259,88,7.45
218,255,40,7.35
218,239,35,7.25
218,250,81,7.35
218,267,92,7.75
218,255,86,7.35
218,263,5,7.35
218,264,59,7.45
218,257,101,7.45
218,264,107,7.45
218,265,98,7.55
218,218,15,7.15
218,261,30,7.45
218,264,56,7.45
218,254,82,7.35
218,237,51,7.25
218,242,1,7.25
218,260,48,7.45
218,243,25,7.25
218,265,65,7.55
218,198,18,7.05
218,267,78,7.75
218,266,60,7.65
218,257,5,7.45
218,252,84,7.35
218,242,36,7.25
218,267,115,7.75
218,200,1,7.05
218,258,0,7.45
218,193,38,7.05
218,255,47,7.35
218,241,4,7.25
218,259,19,7.45
218,267,106,7.75
218,265,53,7.55
218,223,2,7.15
218,265,52,7.55
218,199,32,7.05
218,260,84,7.45
218,264,55,7.45
218,266,110,7.65
218,221,42,7.15
218,256,10,7.35
218,254,80,7.35
218,254,85,7.35
218,259,95,7.45
218,223,21,7.15
218,236,16,7.25
218,266,71,7.65
218,259,2,7.45
218,239,0,7.25
218,257,4,7.45
218,266,115,7.65
218,243,29,7.25
218,257,100,7.45
218,254,17,7.35
218,265,16,7.55
218,224,8,7.15
218,241,2,7.25
218,238,52,7.25
218,255,34,7.35
218,261,7,7.45
218,267,121,7.75
218,250,8,7.35
218,251,16,7.35
218,243,57,7.25
218,250,4,7.35
218,261,31,7.45
218,219,22,7.15
218,267,34,7.75
218,257,102,7.45
218,224,44,7.15
218,265,93,7.55
218,253,10,7.35
218,199,35,7.05
218,251,33,7.35
218,267,60,7.75
218,264,61,7.45
218,267,83,7.75
218,240,57,7.25
218,262,2,7.25
218,264,9,7.45
218,222,10,7.15
218,224,23,7.15
218,198,16,7.05
218,257,1,7.45
218,266,36,7.65
218,240,1,7.25
218,259,106,7.45
218,254,71,7.35
218,266,54,7.65
218,259,83,7.45
218,253,5,7.35
218,267,9,7.75
218,264,21,7.45
218,263,15,7.35
218,172,14,6.95
218,224,27,7.15
218,260,101,7.45
218,266,55,7.65
218,242,64,7.25
218,267,128,7.75
218,267,15,7.75
218,264,105,7.45
218,221,50,7.15
218,265,102,7.55
218,263,29,7.35
218,260,50,7.45
218,258,94,7.45
218,258,72,7.45
218,198,22,7.05
218,265,94,7.55
218,267,16,7.75
218,200,46,7.05
218,267,18,7.75
218,199,2,7.05
218,239,4,7.25
218,257,47,7.45
218,265,63,7.55
218,262,94,7.25
218,266,34,7.65
218,250,47,7.35
218,267,62,7.75
218,266,16,7.65
218,260,30,7.45
218,260,9,7.45
218,237,6,7.25
218,267,45,7.75
218,258,28,7.45
218,243,28,7.25
218,263,62,7.35
218,254,34,7.35
218,260,58,7.45
218,237,61,7.25
218,217,45,7.15
218,265,11,7.55
218,265,9,7.55
218,265,24,7.55
218,255,16,7.35
218,193,12,7.05
218,257,3,7.45
218,258,16,7.45
218,265,56,7.55
218,256,18,7.35
218,222,44,7.15
218,263,19,7.35
218,241,64,7.25
218,250,42,7.35
218,254,54,7.35
218,197,1,7.05
218,260,103,7.45
218,260,49,7.45
218,256,79,7.35
218,216,40,7.15
218,252,73,7.35
218,267,99,7.75
218,260,82,7.45
218,218,44,7.15
218,265,80,7.55
218,253,16,7.35
218,263,114,7.35
218,263,16,7.35
218,266,103,7.65
218,263,32,7.35
218,255,4,7.35
218,267,70,7.75
218,252,77,7.35
218,233,26,7.25
218,243,14,7.25
218,265,105,7.55
218,266,86,7.65
218,263,83,7.35
218,264,114,7.45
218,242,39,7.25
218,264,63,7.45
218,264,70,7.45
218,252,13,7.35
218,260,80,7.45
218,198,1,7.05
218,264,77,7.45
218,222,33,7.15
218,247,22,7.35
218,224,2,7.15
218,242,3,7.25
218,267,102,7.75
218,267,64,7.75
218,267,43,7.75
218,263,67,7.35
218,267,75,7.75
218,257,13,7.45
218,256,3,7.35
218,266,80,7.65
218,252,69,7.35
218,243,34,7.25
218,267,69,7.75
218,260,13,7.45
218,241,26,7.25
218,257,55,7.45
218,259,62,7.45
218,251,9,7.35
218,258,10,7.45
218,196,18,7.05
218,255,3,7.35
218,200,0,7.05
218,253,70,7.35
218,247,64,7.35
218,259,11,7.45
218,170,12,6.95
218,261,99,7.45
218,256,12,7.35
218,260,107,7.45
218,241,35,7.25
218,249,3,7.35
218,242,41,7.25
218,261,21,7.45
218,256,89,7.35
218,220,31,7.15
218,219,49,7.15
218,257,92,7.45
218,248,3,7.35
218,263,25,7.35
218,239,5,7.25
218,239,62,7.25
218,266,21,7.65
218,238,33,7.25
218,170,26,6.95
218,241,30,7.25
218,266,29,7.65
218,251,47,7.35
218,253,20,7.35
218,266,13,7.65
218,267,50,7.75
218,266,42,7.65
218,260,62,7.45
218,263,8,7.35
218,265,28,7.55
218,219,27,7.15
218,263,66,7.35
218,259,104,7.45
218,138,11,6.85
218,247,18,7.35
218,266,19,7.65
218,239,56,7.25
218,256,71,7.35
218,223,49,7.15
218,267,27,7.75
218,243,32,7.25
218,249,50,7.35
218,221,45,7.15
218,266,17,7.65
218,242,11,7.25
218,217,9,7.15
218,257,97,7.45
218,239,17,7.25
218,224,4,7.15
218,261,100,7.45
218,266,56,7.65
218,261,41,7.45
218,266,62,7.65
218,266,122,7.65
218,261,62,7.45
218,249,35,7.35
218,264,25,7.45
218,224,3,7.15
218,261,54,7.45
218,256,38,7.35
218,240,12,7.25
218,256,39,7.35
218,264,30,7.45
218,267,57,7.75
218,260,108,7.45
218,240,58,7.25
218,240,34,7.25
218,259,96,7.45
218,224,46,7.15
218,265,32,7.55
218,251,77,7.35
218,255,94,7.35
218,256,34,7.35
218,223,10,7.15
218,259,72,7.45
218,241,0,7.25
218,255,8,7.35
218,259,21,7.45
218,267,98,7.75
218,257,80,7.45
218,250,20,7.35
218,265,18,7.55
218,267,49,7.75
218,267,38,7.75
218,254,78,7.35
218,259,113,7.45
218,259,100,7.45
218,236,32,7.25
218,255,64,7.35
218,243,58,7.25
218,253,53,7.35
218,237,33,7.25
218,238,20,7.25
218,260,90,7.45
218,260,5,7.45
218,254,37,7.35
218,194,37,7.05
218,266,112,7.65
218,266,87,7.65
218,260,52,7.45
218,253,76,7.35
218,261,10,7.45
218,255,77,7.35
218,240,0,7.25
218,265,46,7.55
218,254,14,7.35
218,266,118,7.65
218,265,110,7.55
218,267,80,7.75
218,255,9,7.35
218,256,35,7.35
218,267,65,7.75
218,266,3,7.65
218,259,47,7.45
218,263,55,7.35
218,240,5,7.25
218,265,117,7.55
218,265,66,7.55
218,261,55,7.45
218,261,49,7.45
218,243,61,7.25
218,236,36,7.25
218,266,74,7.65
218,266,67,7.65
218,264,73,7.45
218,243,31,7.25
218,264,62,7.45
218,258,47,7.45
218,259,86,7.45
218,242,68,7.25
218,222,50,7.15
218,241,5,7.25
218,223,20,7.15
218,258,13,7.45
218,267,104,7.75
218,223,44,7.15
218,257,51,7.45
218,263,98,7.35
218,265,106,7.55
218,221,5,7.15
218,265,35,7.55
218,259,24,7.45
218,243,7,7.25
218,263,22,7.35
218,265,2,7.55
218,265,23,7.55
218,265,33,7.55
218,267,4,7.75
218,264,1,7.45
218,248,41,7.35
218,266,81,7.65
218,259,6,7.45
218,265,0,7.55
218,264,124,7.45
218,264,99,7.45
218,264,12,7.45
218,266,9,7.65
218,264,111,7.45
218,252,0,7.35
218,255,44,7.35
218,248,37,7.35
218,265,22,7.55
218,167,17,6.95
218,259,51,7.45
218,258,40,7.45
218,258,85,7.45
218,265,3,7.55
218,266,7,7.65
218,252,76,7.35
218,260,53,7.45
218,258,61,7.45
218,241,71,7.25
218,261,5,7.45
218,238,39,7.25
218,256,44,7.35
218,219,24,7.15
218,243,13,7.25
218,267,123,7.75
218,251,22,7.35
218,267,118,7.75
218,222,45,7.15
218,264,50,7.45
218,245,71,7.35
218,251,4,7.35
218,265,29,7.55
218,264,8,7.45
218,265,100,7.55
218,223,26,7.15
218,255,67,7.35
218,267,7,7.75
218,265,70,7.55
218,252,5,7.35
218,265,6,7.55
218,237,62,7.25
218,257,10,7.45
218,172,6,6.95
218,255,35,7.35
218,258,43,7.45
218,252,9,7.35
218,267,6,7.75
218,200,2,7.05
218,267,2,7.75
218,242,12,7.25
218,240,2,7.25
218,255,45,7.35
218,267,81,7.75
218,261,61,7.45
218,261,83,7.45
218,258,3,7.45
218,259,12,7.45
218,242,54,7.25
218,252,15,7.35
218,266,32,7.65
218,263,23,7.35
218,267,21,7.75
218,252,38,7.35
218,265,10,7.55
218,256,43,7.35
218,265,4,7.55
218,252,28,7.35
218,265,34,7.55
218,261,8,7.45
218,267,66,7.75
218,258,106,7.45
218,260,89,7.45
218,241,36,7.25
218,265,17,7.55
218,256,11,7.35
218,267,20,7.75
218,261,89,7.45
218,259,42,7.45
218,267,3,7.75
218,260,73,7.45
218,255,68,7.35
218,254,50,7.35
218,220,42,7.15
218,166,31,6.95
218,253,35,7.35
218,267,13,7.75
218,257,43,7.45
218,256,21,7.35
218,259,14,7.45
218,259,10,7.45
218,249,47,7.35
218,245,42,7.35
218,261,91,7.45
218,261,86,7.45
218,259,61,7.45
218,266,24,7.65
218,256,80,7.35
218,255,81,7.35
218,267,71,7.75
218,260,110,7.45
218,251,14,7.35
218,253,15,7.35
218,165,15,6.95
218,264,0,7.45
218,263,113,7.35
218,254,18,7.35
218,224,33,7.15
218,258,51,7.45
218,239,1,7.25
218,241,56,7.25
218,261,14,7.45
218,260,16,7.45
218,260,67,7.45
218,199,26,7.05
218,258,50,7.45
218,254,75,7.35
218,195,16,7.05
218,198,38,7.05
218,264,101,7.45
218,241,54,7.25
218,260,105,7.45
218,254,86,7.35
218,261,45,7.45
218,165,0,6.95
218,200,16,7.05
218,251,54,7.35
218,266,5,7.65
218,256,32,7.35
218,216,27,7.15
218,265,62,7.55
218,243,8,7.25
218,246,33,7.35
218,255,78,7.35
218,263,54,7.35
218,257,57,7.45
218,263,81,7.35
218,258,89,7.45
218,241,13,7.25
218,224,24,7.15
218,259,85,7.45
218,265,129,7.55
218,239,32,7.25
218,259,82,7.45
218,242,63,7.25
218,267,1,7.75
218,261,110,7.45
218,265,60,7.55
218,265,72,7.55
218,267,122,7.75
218,254,67,7.35
218,221,40,7.15
218,238,2,7.25
218,250,1,7.35
218,264,58,7.45
218,253,88,7.35
218,243,60,7.25
218,217,53,7.15
218,253,21,7.35
218,265,116,7.55
218,257,53,7.45
218,252,12,7.35
218,257,104,7.45
218,265,73,7.55
218,255,55,7.35
218,260,60,7.45
218,254,35,7.35
218,266,120,7.65
218,250,67,7.35
218,266,70,7.65
218,242,8,7.25
218,253,24,7.35
218,241,9,7.25
218,266,12,7.65
218,267,55,7.75
218,266,113,7.65
218,265,115,7.55
218,266,27,7.65
218,261,13,7.45
218,264,71,7.45
218,267,31,7.75
218,222,7,7.15
218,255,21,7.35
218,255,74,7.35
218,254,52,7.35
218,243,53,7.25
218,264,85,7.45
218,265,30,7.55
218,242,40,7.25
218,200,3,7.05
218,265,38,7.55
218,265,118,7.55
218,267,120,7.75
218,220,27,7.15
218,266,68,7.65
218,256,33,7.35
218,223,40,7.15
218,249,93,7.35
218,224,41,7.15
218,265,57,7.55
218,267,25,7.75
218,224,48,7.15
218,267,112,7.75
218,241,51,7.25
218,267,131,7.75
218,256,0,7.35
218,265,58,7.55
218,251,6,7.35
218,247,42,7.35
218,261,4,7.45
218,254,5,7.35
218,255,42,7.35
218,266,79,7.65
218,242,61,7.25
218,254,45,7.35
218,266,65,7.65
218,252,66,7.35
218,261,32,7.45
218,261,19,7.45
218,243,1,7.25
218,242,30,7.25
218,224,0,7.15
218,252,19,7.35
218,238,30,7.25
218,267,61,7.75
218,267,73,7.75
218,267,110,7.75
218,267,77,7.75
218,224,25,7.15
218,265,37,7.55
218,253,43,7.35
218,259,3,7.45
218,253,69,7.35
218,265,99,7.55
218,266,30,7.65
218,236,4,7.25
218,238,42,7.25
218,267,93,7.75
218,267,40,7.75
218,220,52,7.15
218,258,64,7.45
218,256,87,7.35
218,266,69,7.65
218,252,11,7.35
218,240,28,7.25
218,266,10,7.65
218,242,60,7.25
218,255,11,7.35
218,255,39,7.35
218,253,34,7.35
218,256,64,7.35
218,267,107,7.75
218,261,105,7.45
218,267,12,7.75
218,260,88,7.45
218,266,23,7.65
218,266,51,7.65
218,255,36,7.35
218,261,65,7.45
218,267,29,7.75
218,267,87,7.75
218,263,129,7.35
218,265,51,7.55
218,265,7,7.55
218,266,88,7.65
218,222,21,7.15
218,265,64,7.55
218,257,15,7.45
218,198,17,7.05
218,250,36,7.35
218,259,92,7.45
218,242,38,7.25
218,265,25,7.55
218,243,3,7.25
